Topic 0:  ['πλειοψηφ', 'δεκτ', 'αρθρ', 'εγιν', 'ερωτ']
Topic 108:  ['συγγνωμ', 'σχες', 'ονομ', 'νομοτεχν', 'δευτερολεπτ']
Topic 109:  ['καντ', 'γκατζ', 'γραφ', 'επερωτης', 'ολοκληρων']
Topic 110:  ['καντ', 'παιδει', 'δευτερολεπτ', 'σχολ', 'εκπαιδευς']
Topic 111:  ['γραφ', 'συγγνωμ', 'παιδει', 'διανεμ', 'ολοκληρων']
Topic 112:  ['γκατζ', 'γραφ', 'πλειοψηφιαερωτ', 'ερωτ', 'παιδει']
Topic 113:  ['γκατζ', 'διανεμ', 'ονομ', 'παιδει', 'διοτ']
Topic 114:  ['δευτερολεπτ', 'νομοτεχν', 'γιαννοπουλ', 'βελτιως', 'τριαντ']
Topic 115:  ['ισχυ', 'αγορητ', 'συνασπισμ', 'σχες', 'διοτ']
Topic 116:  ['ισχυ', 'βοριδ', 'αγροτ', 'σχες', 'γκατζ']
Topic 117:  ['παφιλ', 'γιαννοπουλ', 'νομοτεχν', 'φρας', 'βελτιως']
Topic 118:  ['ισχυ', 'φρας', 'αιθους', 'δευτερολεπτ', 'τελευται']
Topic 119:  ['γιαννοπουλ', 'παφιλ', 'διανεμ', 'κατατεθ', 'ζητηθεις']
Topic 120:  ['παφιλ', 'βοριδ', 'συνασπισμ', 'δευτερολεπτ', 'αγορητ']
Topic 121:  ['παφιλ', 'παραγραφ', 'ζητημ', 'τοποθετ', 'κωνσταντιν']
Topic 122:  ['καταλογ', 'βοριδ', 'γειτον', 'κωνσταντιν', 'οκτω']
Topic 123:  ['τοποθετ', 'γιαννοπουλ', 'φρας', 'καταλογ', 'οκτω']
Topic 124:  ['γιαννοπουλ', 'αλλαξ', 'βοριδ', 'συνασπισμ', 'δευτ']
Topic 125:  ['καστανιδ', 'στιγμ', 'ζητημ', 'δικαιοσυν', 'δευτ']
Topic 126:  ['αλλαξ', 'δωστ', 'καταλογ', 'φρας', 'παφιλ']
Topic 127:  ['δωστ', 'καταλογ', 'αιθους', 'απευθυν', 'εγγραφ']
Topic 128:  ['απευθυν', 'επερωτης', 'αιθους', 'καστανιδ', 'αντιπολιτευς']
Topic 129:  ['επερωτης', 'δωστ', 'καστανιδ', 'αλλαξ', 'τοποθετ']
Topic 130:  ['απευθυν', 'γειτον', 'κωνσταντιν', 'αλλαξ', 'αιθους']
Topic 131:  ['δωστ', 'οκτω', 'αιθους', 'στιγμ', 'τελευται']
Topic 132:  ['απευθυν', 'οκτω', 'δωστ', 'ζητημ', 'καταλογ']
Topic 133:  ['διοτ', 'δωστ', 'αντιπολιτευς', 'οκτω', 'συνασπισμ']
Topic 134:  ['διοτ', 'οκτω', 'αιθους', 'ελλαδ', 'ζητηθεις']
Topic 135:  ['διοτ', 'ελλαδ', 'αγορητ', 'τοποθετ', 'δικαιοσυν']
Topic 136:  ['εδως', 'τσοβολ', 'αντιπολιτευς', 'μεγαλ', 'αξιωματ']
Topic 137:  ['τσοβολ', 'στιγμ', 'δυνατον', 'τελευται', 'σχες']
Topic 138:  ['δυνατον', 'τσοβολ', 'εδως', 'προτειν', 'σημει']
Topic 139:  ['τσοβολ', 'εννο', 'προτειν', 'παιρν', 'συμβουλ']
Topic 140:  ['προβλεπ', 'ζητημ', 'τσοβολ', 'προτειν', 'στιγμ']
Topic 141:  ['εννο', 'εδως', 'προτειν', 'στιγμ', 'διαφων']
Topic 142:  ['προτειν', 'σγουριδ', 'εδως', 'γεννημ', 'ελλαδ']
Topic 143:  ['σγουριδ', 'εννο', 'παναγιωτ', 'ζητημ', 'δυνατον']
Topic 144:  ['σγουριδ', 'παραπαν', 'σημει', 'αντιπολιτευς', 'εργας']
Topic 145:  ['εννο', 'προτειν', 'προβλεπ', 'επερωτης', 'ολοκληρωθ']
Topic 146:  ['συντομευ', 'γεννημ', 'παυλιδ', 'κανελλ', 'εγγραφ']
Topic 147:  ['εγγραφ', 'διαβαστ', 'σειρ', 'αντιπολιτευς', 'κανελλ']
Topic 148:  ['ηρεμ', 'γεννημ', 'καθιστ', 'κανελλ', 'διεκοψ']
Topic 149:  ['διαβαστ', 'ολοκληρωθ', 'προβλεπ', 'σγουριδ', 'επικαιρ']
Topic 150:  ['κανελλ', 'διαφων', 'διαβαστ', 'προβλεπ', 'παυλιδ']
Topic 151:  ['γεννημ', 'προβλεπ', 'οκτω', 'γειτον', 'συνασπισμ']
Topic 152:  ['γεννημ', 'επτα', 'κανελλ', 'διαφων', 'κωνσταντιν']
Topic 153:  ['διαφων', 'εγγραφ', 'ολοκληρωθ', 'ηρεμ', 'συνολ']
Topic 154:  ['παυλιδ', 'διαφων', 'εγγραφ', 'τελευται', 'τελειωσατ']
Topic 155:  ['επτα', 'παυλιδ', 'προβλεπ', 'παιρν', 'σημει']
Topic 156:  ['αντιπολιτευς', 'ευρωπαικ', 'αξιωματ', 'ενως', 'επτα']
Topic 157:  ['επτα', 'διαφων', 'μεγαλ', 'προβλεπ', 'δευτ']
Topic 158:  ['σειρ', 'γειτον', 'τελευται', 'παιρν', 'διαφων']
Topic 159:  ['παιρν', 'προβλεπ', 'αγορητ', 'δευτ', 'συνολ']
Topic 160:  ['γειτον', 'επρεπ', 'παυλιδ', 'εκαν', 'εγγραφ']
Topic 161:  ['καθιστ', 'σειρ', 'τροπ', 'επτα', 'γεωργακοπουλ']
Topic 162:  ['αναπτυξ', 'ψηφιζ', 'συμβας', 'δικαιοσυν', 'εγγραφ']
Topic 163:  ['γεωργακοπουλ', 'τελευται', 'αναπτυξ', 'συμβας', 'ζητημ']
Topic 164:  ['τελευται', 'καθιστ', 'ψηφιζ', 'εκαν', 'αγροτ']
Topic 165:  ['καθιστ', 'εγγραφ', 'αναπτυξ', 'παιρν', 'τελειωσατ']
Topic 166:  ['διεκοψ', 'εκαν', 'σειρ', 'ζητημ', 'παπουτς']
Topic 167:  ['τζεκ', 'αντιπολιτευς', 'γειτον', 'διαφων', 'δικαιοσυν']
Topic 168:  ['επρεπ', 'παιρν', 'τροπ', 'επτα', 'τελευται']
Topic 169:  ['επρεπ', 'τζεκ', 'ψηφιζ', 'υπολοιπ', 'συμβουλ']
Topic 170:  ['εκαν', 'καθιστ', 'επρεπ', 'τελειωσατ', 'ερωτημ']
Topic 171:  ['τζεκ', 'μεγαλ', 'συμβας', 'σειρ', 'προβλεπ']
Topic 172:  ['τελειωσατ', 'τζεκ', 'διεκοψ', 'ψηφιζ', 'σπυριουν']
Topic 173:  ['ερωτημ', 'εκαν', 'τζεκ', 'υπολοιπ', 'τροπ']
Topic 174:  ['παπουτς', 'ψηφιζ', 'ερωτημ', 'τζεκ', 'χρηστ']
Topic 175:  ['υπολοιπ', 'παπουτς', 'τζεκ', 'επρεπ', 'προβλεπ']
Topic 176:  ['ακου', 'παντ', 'ελλαδ', 'εκαν', 'εγγραφ']
Topic 177:  ['ερωτημ', 'ακου', 'ελλαδ', 'αντιπολιτευς', 'σειρ']
Topic 178:  ['μεγαλ', 'εκαν', 'υπολοιπ', 'τροπ', 'αντιπολιτευς']
Topic 179:  ['ακου', 'παντ', 'επτα', 'υπολοιπ', 'μαγκριωτ']
Topic 180:  ['σπυριουν', 'λεβεντ', 'αθανας', 'αναφορ', 'ιωαννιδ']
Topic 181:  ['σπυριουν', 'εικος', 'πρωτολογ', 'εκαν', 'συνασπισμ']
Topic 182:  ['τροπ', 'περας', 'ξεκιν', 'σπυριουν', 'κατατεθ']
Topic 183:  ['ιωαννιδ', 'περας', 'κατατεθ', 'τελειωστ', 'παντ']
Topic 184:  ['αποστολ', 'ιωαννιδ', 'συνασπισμ', 'αναφορ', 'καταλογ']
Topic 185:  ['ιωαννιδ', 'καταλαβατ', 'διανεμ', 'πρωτολογ', 'τελειωστ']
Topic 186:  ['καταλαβατ', 'περας', 'καταλογ', 'ξεκιν', 'νομοθετ']
Topic 187:  ['καταλαβατ', 'κατατεθ', 'πρωτολογ', 'συμβας', 'ιωαννιδ']
Topic 188:  ['ιωαννιδ', 'τελειωστ', 'ξεκιν', 'νομοθετ', 'ρυθμις']
Topic 189:  ['τελειωστ', 'αποστολ', 'πρωτολογ', 'περας', 'πολυδωρ']
Topic 190:  ['πρωτολογ', 'παντ', 'αναφορ', 'ξεκιν', 'επτα']
Topic 191:  ['τελειωστ', 'παντ', 'ξεκιν', 'καταλαβατ', 'πολυδωρ']
Topic 192:  ['μαγκριωτ', 'ξεκιν', 'αποστολ', 'παντ', 'εικος']
Topic 193:  ['μαγκριωτ', 'ξηροτυρ', 'πιστευ', 'ιωανν', 'συνασπισμ']
Topic 194:  ['πολυδωρ', 'παντ', 'εικος', 'συμβας', 'αναφορ']
Topic 195:  ['ξεκιν', 'πολυδωρ', 'αποστολ', 'εργαζομεν', 'εκαν']
Topic 196:  ['προσθες', 'συμβας', 'παντ', 'εκαν', 'προυπολογισμ']
Topic 197:  ['καταλαβαιν', 'προσθες', 'κλειν', 'αποστολ', 'κουβεντ']
Topic 198:  ['προσθες', 'ξηροτυρ', 'ξεκιν', 'αναφορ', 'εργαζομεν']
Topic 199:  ['κλειν', 'συμβας', 'προσθες', 'προυπολογισμ', 'αποστολ']
Percentage of total variance explained by the selected components: 33.87%
